标题,简介,豆瓣评分,链接,创建时间,我的评分,标签,评论,可见性
人类简史,[以色列] 尤瓦尔·赫拉利 / 2014 / 中信出版社,9.1,https://book.douban.com/subject/25985021/,2021-06-29 00:05:58,4,尤瓦尔·赫拉利,,public
平凡的世界（全三部）,路遥 / 2005 / 人民文学出版社,9.0,https://book.douban.com/subject/1200840/,2021-06-29 00:05:31,5,"当代,平凡的世界,路遥",,public
三体全集,刘慈欣 / 2012 / 重庆出版社,9.5,https://book.douban.com/subject/6518605/,2021-06-29 00:05:04,4,硬科幻,,public
事实,[瑞典] 汉斯·罗斯林 [瑞典] 欧拉·罗斯林 [瑞典]  安娜·罗斯林·罗朗德 / 2019 / 文汇出版社,7.9,https://book.douban.com/subject/33385402/,2021-06-16 09:15:07,5,"社会,数据",傲慢的人死于短见,public
追风筝的人,[美] 卡勒德·胡赛尼 / 2006 / 上海人民出版社,8.9,https://book.douban.com/subject/1770782/,2021-06-11 23:56:10,5,"卡勒德·胡赛尼,小说,阿富汗",不是每个人都有这么好的运气可以取得别人的谅解,public
平凡的世界,路遥 / 2013 / 北京十月文艺出版社,9.1,https://book.douban.com/subject/24380577/,2021-06-11 23:55:21,5,路遥,,public
SRE,贝特西 拜尔 (Betsy Beyer) 等 / 2016 / 电子工业出版社,8.8,https://book.douban.com/subject/26875239/,2021-05-21 09:09:59,5,"互联网,架构师,DevOps,运维,软件开发",,public
明朝那些事儿（1-9）,当年明月 / 2009 / 中国海关出版社,9.2,https://book.douban.com/subject/3674537/,2021-04-28 21:56:46,5,明史,明朝奇葩多,public
Go语言核心编程,李文塔 / 2018 / 电子工业出版社,7.5,https://book.douban.com/subject/30351288/,2021-04-12 22:16:53,2,后端开发,名字起得震天响,public
小岛经济学,彼得·希夫 安德鲁·希夫 / 2017 / 中信出版社,8.0,https://book.douban.com/subject/26985299/,2021-04-05 00:06:48,5,,,public
gRPC与云原生应用开发,卡山·因德拉西里（Kasun Indrasiri） 丹尼什·库鲁普（Danesh Kuruppu） / 2021 / 人民邮电出版社,6.6,https://book.douban.com/subject/35309194/,2021-06-01 08:50:13,3,"计算机,编程",readme.md,public
文城,余华 / 2021 / 北京十月文艺出版社,7.9,https://book.douban.com/subject/35335514/,2021-05-31 09:17:16,3,"长篇小说,余华",,public
硅谷钢铁侠,[美] 阿什利·万斯 / 2016 / 中信出版社,8.0,https://book.douban.com/subject/26759508/,2021-03-29 20:15:50,4,人物传记,专注，然后一直努力,public
认知盈余,[美] 克莱·舍基 / 2011 / 中国人民大学出版社,7.0,https://book.douban.com/subject/7007666/,2021-03-13 21:33:00,4,"思考,好奇心推荐,认知,互联网",,public
非暴力沟通,马歇尔·卢森堡 (Marshall B.Rosenberg) / 2016 / 华夏出版社,8.3,https://book.douban.com/subject/26728136/,2021-02-25 18:35:30,5,"思维,非暴力沟通",,public
零信任网络,【美】埃文·吉尔曼（Evan Gilman） 【美】道格·巴斯（Doug Barth） / 2019 / 人民邮电出版社,7.5,https://book.douban.com/subject/34468463/,2021-02-25 18:34:48,5,"安全,新安全体系",公司出版的，拜读,public
可伸缩架构,【美】Lee Atchison / 2017 / 电子工业出版社,7.0,https://book.douban.com/subject/27071892/,2021-02-23 08:45:44,3,"后端开发,分布式架构",,public
后疫情时代：大重构,[德]克劳斯·施瓦布 [法]蒂埃里·马勒雷 / 2020 / 中信出版集团,6.6,https://book.douban.com/subject/35234115/,2021-01-22 23:27:15,4,,,public
代码的未来,[日] 松本行弘 / 2013 / 人民邮电出版社,7.8,https://book.douban.com/subject/24536403/,2021-01-11 23:00:32,5,"松本行弘,编程",十年前的书，感觉就像是现在写的一样，如果十年前能够读到这本书，我起码能够比现在更上一个台阶,public
凤凰项目,基恩·金 (Gene Kim) 凯文·贝尔 (Kevin Behr) 乔治·斯帕福德 (George Spafford) / 2015 / 人民邮电出版社,8.7,https://book.douban.com/subject/26644070/,2020-12-28 13:41:13,4,"IT,项目管理",,public
我的二本学生,黄灯 / 2020 / 人民文学出版社,7.5,https://book.douban.com/subject/35050614/,2020-12-12 09:49:30,4,"社会,纪实文学",真的太太太真实了,public
你当像鸟飞往你的山,塔拉·韦斯特弗 / 2019 / 南海出版公司,8.7,https://book.douban.com/subject/33440205/,2021-06-29 00:01:20,5,"励志,文学,塔拉·韦斯特弗,教育与女性",,public
一本书读懂边缘计算,史皓天 / 2020 / 机械工业出版社,6.0,https://book.douban.com/subject/35017006/,2020-10-25 15:30:38,3,边缘计算,科普性读物，适合对边缘计算没有任何了解的人,public
腾讯产品法,李立 / 2018 / 浙江大学出版社,7.2,https://book.douban.com/subject/27205096/,2020-10-21 10:48:54,4,"腾讯,思维,方法论,产品经理",,public
非暴力沟通,[美] 马歇尔·卢森堡 / 2009 / 华夏出版社,8.4,https://book.douban.com/subject/3533221/,2020-10-21 10:48:32,5,"社会学,人际沟通",,public
目标中国,威廉·恩道尔 / 2013 / 中国民主法制出版社,5.7,https://book.douban.com/subject/20482618/,2020-10-15 20:12:13,3,,,public
变量,何帆 / 2019 / 中信出版社,6.9,https://book.douban.com/subject/30418697/,2020-10-12 23:11:05,3,,有点凑字数的嫌疑,public
消失的13级台阶,[日] 高野和明 / 2020 / 上海文艺出版社,8.6,https://book.douban.com/subject/34996429/,2020-09-28 16:29:39,,"日本文学,推理小说",,public
大国工程,赵忆宁 / 2018 / 中国人民大学出版社,7.4,https://book.douban.com/subject/30221110/,2020-09-26 01:09:22,,,,public
长夜难明,紫金陈 / 2017 / 云南人民出版社,8.6,https://book.douban.com/subject/26923390/,2020-09-24 00:36:14,,,,public
人生海海,麦家 / 2019 / 北京十月文艺出版社,8.0,https://book.douban.com/subject/30475767/,2020-09-17 20:12:08,,"现当代文学,麦家,活着的勇气",,public
恶意,[日] 东野圭吾 / 2009 / 南海出版公司,8.5,https://book.douban.com/subject/3646172/,2020-09-06 19:11:06,5,"日本文学,悬疑,人性",,public
活着,余华 / 2012 / 作家出版社,9.4,https://book.douban.com/subject/4913064/,2020-08-18 17:48:46,5,"社会,活着",,public
小王子,[法] 圣埃克苏佩里 / 2003 / 人民文学出版社,9.1,https://book.douban.com/subject/1084336/,2020-08-17 16:37:38,5,"童话,小王子",,public
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 / 2004 / 哈尔滨出版社,8.9,https://book.douban.com/subject/1058661/,2020-08-16 15:03:01,5,,,public
